"id","mssubclass","lotfrontage","lotarea","garagearea","grlivarea","totalbsmtsf","saleprice","lotfrontage_std","lotarea_meannorm","garagearea_std","grlivarea_std","totalbsmtsf_std","saleprice_std"
1269,"1-1/2 STORY FINISHED ALL AGES",NULL,14100,1014,3447,728,381000,NULL,0.35898976152656119397,2.5304378485351916,3.6757533911865875,-0.75091281935245412358,2.5185360084202633
652,"2-STORY 1945 & OLDER",60,9084,296,1510,755,108000,-0.41383821672768622135,-0.14355175339988193720,-0.82776487091332666656,-0.01039753110200639087,-0.68936809104703245940,-0.91791161209897412085
273,"2-STORY 1946 & NEWER",92,11764,671,2270,1152,290000,0.90386106622827374553,0.12495128886544254277,0.92617108980142868424,1.4358981327799406,0.21556735848083423244,1.3730534682471842
51,"2-STORY 1946 & NEWER",NULL,13869,388,1470,794,177000,NULL,0.33584640228652762872,-0.39746591521797335383,-0.08651835551684570727,-0.60047015016142338892,-0.04935891680290312286
1091,"DUPLEX - ALL STYLES AND AGES",60,8544,400,1040,0,92900,-0.41383821672768622135,-0.19765311266229806376,-0.34133996447510118261,-0.90481721797636835858,-2.4103410492171568,-1.1079861874463752
951,"1-STORY 1946 & NEWER ALL STYLES",60,7200,720,864,864,129000,-0.41383821672768622135,-0.33230538460431153431,1.1553520553348234,-1.2397488454016614,-0.44090974344366351882,-0.65356948744364816494
839,"1-STORY 1946 & NEWER ALL STYLES",75,9525,352,1099,1099,144000,0.20383332215792001313,-0.09936897666890876717,-0.56584376744658986751,-0.79253900196448036689,0.09475733625167318793,-0.46475368411841533929
70,"1-1/2 STORY FINISHED ALL AGES",81,15593,667,2287,1304,225000,0.45090193771216250692,0.50857000111690800315,0.90746243955380462716,1.4682494831562473,0.56204138449654137893,0.55485165383784191922
1075,"1-STORY 1946 & NEWER ALL STYLES",74,8556,826,1240,1240,194000,0.16265521956554626416,-0.19645086023424437206,1.6511312868968609,-0.52421309590217177658,0.41615758406887521199,0.16463232696569407954
350,"2-STORY 1946 & NEWER",56,20431,706,2728,1848,437154,-0.57855062709718121721,0.99327810502722137408,1.0898717794681392,2.3074815723298508,1.8020536881317038,3.2253868497486049
758,"2-STORY 1946 & NEWER",NULL,11616,440,1386,672,158900,NULL,0.11012350891944701179,-0.15425346199886061186,-0.24637208678800827171,-0.87856114472666201966,-0.27719665281535073248
539,"1-STORY 1946 & NEWER ALL STYLES",NULL,11553,336,1159,1051,158000,NULL,0.10381168367216513036,-0.64067836843708609581,-0.67835776534222139229,-0.01465551406907643727,-0.28852560101486470202
1108,"2-STORY 1946 & NEWER",168,23257,422,2021,868,274725,4.0333968632486787,1.2764085518338658,-0.23844238811316886869,0.96204600079756587616,-0.43179200591693438338,1.1807760418609887
1128,"1-STORY 1946 & NEWER ALL STYLES",182,14572,630,1530,1530,259000,4.6098902995419112,0.40627835703000640089,0.73440742476328209922,0.02766288110541326733,1.0771935547567375,0.98283414137503632402
1284,"DUPLEX - ALL STYLES AND AGES",94,9400,0,1824,912,139000,0.98621727141302124346,-0.11189243946113472240,-2.2122049892375069,0.58715094055448224288,-0.33149689312291389361,-0.52769228522682628118
874,"1-STORY W/FINISHED ATTIC ALL AGES",60,12144,288,1268,832,133000,-0.41383821672768622135,0.16302261575380944665,-0.86518217140857478071,-0.47092851881178425510,-0.51385164365749660229,-0.60321860655691941144
278,"1-STORY 1946 & NEWER ALL STYLES",140,19138,400,864,864,141000,2.8804099906622137,0.86373540590443609326,-0.34133996447510118261,-1.2397488454016614,-0.44090974344366351882,-0.50251684478346190442
1136,"1-STORY 1945 & OLDER",60,6180,180,986,960,102000,-0.41383821672768622135,-0.43449684098887532893,-1.3703157280944243,-1.0075803309364014,-0.22208404280216426840,-0.99343793342906725111
946,"1-1/2 STORY FINISHED ALL AGES",98,8820,456,1869,1088,124900,1.1509296817825162,-0.17000130681706315463,-0.07941886100836438355,0.67278686802117647383,0.06968355805316806549,-0.70517914035254513729
176,"1-STORY 1946 & NEWER ALL STYLES",84,12615,576,2158,1202,243000,0.57443624548928375381,0.21021102355491684593,0.48184064642035732870,1.2227598244183905,0.32953907756494842536,0.78143061782812131000
576,"1-1/2 STORY FINISHED ALL AGES",80,8480,336,1216,832,118500,0.40972383511978875795,-0.20406512561191775283,-0.64067836843708609581,-0.56988559055107536642,-0.51385164365749660229,-0.78574054977131114290
1003,"1-STORY 1946 & NEWER ALL STYLES",75,11957,824,1574,1574,232000,0.20383332215792001313,0.14428751541663941764,1.6417769617730489,0.11139578796173651537,1.1774886675507580,0.64296569538961723785
1045,"1-STORY 1946 & NEWER ALL STYLES",80,9600,542,2524,2524,278000,0.40972383511978875795,-0.09185489899357319404,0.32281711931555284356,1.9192653678141703,3.3429513301489277,1.2220008255869979
